P1 DID,P1 Bnet,P1 peak,P1 S24,P1 S23,P1 S22,P1 S24-a,P1 S23-a,P1 S22-a,P2 DID,P2 Bnet,P2 peak,P2 S24,P2 S23,P2 S22,P2 S24-a,P2 S23-a,P2 S22-a
Rock#0027,Tharyelot#2568,3489,https://cdn.discordapp.com/attachments/755823652703961168/763331934168154142/ScreenShot_20-10-07_11-20-40-000.jpg,https://cdn.discordapp.com/attachments/755823652703961168/763331945789915136/ScreenShot_20-10-07_11-20-46-000.jpg,https://cdn.discordapp.com/attachments/755823652703961168/763331987900727326/ScreenShot_20-10-07_11-20-49-000.jpg,,,,SenKH#4243,SenKH#21361,3151,https://cdn.discordapp.com/attachments/755823652703961168/763332033727430686/ScreenShot_20-10-07_11-21-10-000.jpg,https://cdn.discordapp.com/attachments/755823652703961168/763332048286121994/ScreenShot_20-10-07_11-21-13-000.jpg,https://cdn.discordapp.com/attachments/755823652703961168/763332059400896542/ScreenShot_20-10-07_11-21-15-000.jpg,,,
Fatal#3918,Fatal#21768,3818,https://cdn.discordapp.com/attachments/764222790475317259/764224920937955328/unknown.png,https://cdn.discordapp.com/attachments/764222790475317259/764226519270424666/unknown.png,https://cdn.discordapp.com/attachments/764222790475317259/764226561741815838/unknown.png,,,,Pepjin#2193,Pepjin#2486,3872,https://cdn.discordapp.com/attachments/764222790475317259/764225029788925952/unknown.png,https://cdn.discordapp.com/attachments/764222790475317259/764225050974617600/unknown.png,https://cdn.discordapp.com/attachments/764222790475317259/764225061971951656/unknown.png,,,
Rize #9512,RiZe1461#2482,3192,https://cdn.discordapp.com/attachments/764807649521958953/764807741196992522/Screenshot_363.png,https://cdn.discordapp.com/attachments/764807649521958953/764807756212600842/Screenshot_364.png,https://cdn.discordapp.com/attachments/764807649521958953/764807771270414336/Screenshot_365.png,https://cdn.discordapp.com/attachments/764807649521958953/764807741196992522/Screenshot_363.png,https://cdn.discordapp.com/attachments/764807649521958953/764807756212600842/Screenshot_364.png,https://cdn.discordapp.com/attachments/764807649521958953/764807771270414336/Screenshot_365.png,Shadow. #4995,ShadowTitan#21510,2765,https://cdn.discordapp.com/attachments/764807649521958953/764808961592786944/Screenshot_367.png,https://cdn.discordapp.com/attachments/764807649521958953/764808717991804938/Screenshot_368.png,https://cdn.discordapp.com/attachments/764807649521958953/764808553004662784/Screenshot_369.png,https://cdn.discordapp.com/attachments/764807649521958953/764808961592786944/Screenshot_367.png,https://cdn.discordapp.com/attachments/764807649521958953/764808717991804938/Screenshot_368.png,https://cdn.discordapp.com/attachments/764807649521958953/764808553004662784/Screenshot_369.png
RushDaOz#7573,RushDaOzŦ#2692,3558,https://cdn.discordapp.com/attachments/764908697021317161/767687844633640970/ScreenShot_20-10-11_18-47-47-000.jpg,https://cdn.discordapp.com/attachments/764908697021317161/767687840154517534/ScreenShot_20-10-11_18-48-00-000.jpg,https://cdn.discordapp.com/attachments/764908697021317161/767687838732779540/ScreenShot_20-10-11_18-48-05-000.jpg,,,,grounson#6509,Token21447,3097,https://cdn.discordapp.com/attachments/764908697021317161/767687800924799016/ScreenShot_20-10-11_18-58-43-000.jpg,https://cdn.discordapp.com/attachments/764908697021317161/767687797451522048/ScreenShot_20-10-11_18-58-46-000.jpg,https://cdn.discordapp.com/attachments/764908697021317161/767687795132203008/ScreenShot_20-10-11_18-58-50-000.jpg,,,
Quadcore #8266,Quadcore#21964,3100,https://cdn.discordapp.com/attachments/767479218715623474/767479240777007154/unknown.png,https://cdn.discordapp.com/attachments/767479218715623474/767479271727562762/unknown.png,https://cdn.discordapp.com/attachments/767479218715623474/767479299867017266/unknown.png,,,,Lazay #9153,gonzo#22253,3200,https://cdn.discordapp.com/attachments/762767133444669490/767487234899181608/IMG_20201018_233943.jpg,https://cdn.discordapp.com/attachments/762767133444669490/767487222076801074/IMG_20201018_233953.jpg,https://cdn.discordapp.com/attachments/762767133444669490/767487209007349820/IMG_20201018_234000.jpg,,,
Der LK #9824,Calcululus#2199,3278,https://drive.google.com/file/d/19NYaURy9KsAcHIl4v66jLL_5k-ono0_S/view?usp=sharing,https://drive.google.com/file/d/1P-S8Qcn8pVV5aa5OYMfNXjDJrwd7HOQi/view?usp=sharing,https://drive.google.com/file/d/1rG-yHNISm4-_jVilD4QlHcnU1JbgZT34/view?usp=sharing,,,,Gdenth #4795,Gdenth#2642,3102,https://drive.google.com/file/d/1Y95JDsE49qDoBrWo2Jm4zuiTxkDtaFph/view?usp=sharing,https://drive.google.com/file/d/1DdRfNq08qs40xG0W3L1Q8GkWK4iCd2nK/view?usp=sharing,https://drive.google.com/file/d/1Qtlrj54MOJ6mkRFQBqbbERCc4XW45qCm/view?usp=sharing,,,
Glemdal#5652,Glemdal#2360,4176,https://gyazo.com/fcfb911a2a2ba86b9768c1be28cb13e6,https://gyazo.com/e7f49a67289df05fdc353fad4d77c043,https://gyazo.com/c58ab204ef7fbf2db124bcb6ba8c17f1,,,,Dink_Dunk #6805,DinkDunk#2317,3988,https://gyazo.com/c0fd0ff1b23ce88a64a4b2f362923711,https://gyazo.com/6021b14820a67bea18c919336dcf8924,https://gyazo.com/1b6b4fbe4ca973eb8850db81684ede92,https://gyazo.com/469bef0de16b02496c46a0a4bdc67a23,https://gyazo.com/469bef0de16b02496c46a0a4bdc67a23,https://gyazo.com/72c09db21fa41be2c8ffbf9a76400f85
Cydar#0181,Cydar#21867,3512,https://i.imgur.com/85O1m8X.jpg,https://i.imgur.com/t7E1qgY.jpg,https://i.imgur.com/ClDJe3d.jpg,,,,notnotJess#7048,OfTarth#2652,3014,https://i.imgur.com/1IGyQDB.jpg,https://i.imgur.com/yWZ5CBR.jpg,https://i.imgur.com/X7Yc9np.jpg,,,
JuJuMan#9539,JuJuMan#21643,3785,https://i.imgur.com/8hSEqzh.png,https://i.imgur.com/KBMqzvL.png,https://i.imgur.com/5ruIgZQ.png,,,,VeikkoT #7385,VeikkoT#2841,4015,https://imgur.com/q9ax23w,https://imgur.com/UvaITKI,https://imgur.com/NHEiAfE,,,
Pugsie#1500,Pugsie#2762,2000,https://i.imgur.com/9LPJJJY.jpg,https://i.imgur.com/l5erLE2.jpg,https://i.imgur.com/c8oDpFV.jpg,,,,LEGNA#1035,LEGNA#21780,2614,https://i.imgur.com/V18ZA1N.png,https://i.imgur.com/36Qj4fL.png,https://i.imgur.com/co40dTG.png,,,
Gundalf#0608,Ðetest#21770,3913,https://i.imgur.com/aZVvnIy.jpeg,https://i.imgur.com/0wfpXC1.jpg,https://i.imgur.com/lpQ9bye.jpeg,https://i.imgur.com/lgq3KaG.jpg,https://i.imgur.com/lgq3KaG.jpg,https://i.imgur.com/wYvI1xW.jpg,TheKingMode#3925,KingMode#21415,4187,https://i.imgur.com/T0D2gUx.jpg,https://i.imgur.com/E8mQjkW.jpeg,https://i.imgur.com/h6smfjz.jpeg,https://i.imgur.com/dXWFGev.jpg,https://i.imgur.com/kAnuCNg.jpg,https://i.imgur.com/aRqEB1Y.jpg
Quagony#8292,Quag#21691,3230,https://i.imgur.com/FvnAjDE.png,https://i.imgur.com/ncRIxec.png,https://i.imgur.com/mTEZ4MW.png,,,,Mano/Taiyou #8708,Taiyou#21334,3238,https://i.imgur.com/aQ7WUs9.png,https://i.imgur.com/A5tUQ8x.png,https://i.imgur.com/wXAX2uQ.png,,,
deinial#1383,deinial#2386,4094,https://i.imgur.com/iEr3klC.jpg,https://i.imgur.com/PJbu22w.jpg,https://i.imgur.com/5V8Ks2o.jpeg,,,,Shady#1337,Cairngorm#21770,4000,https://i.imgur.com/gstr6Jk.jpg,https://i.imgur.com/mTRwdIS.jpg,https://i.imgur.com/9mBw2AY.jpg,,,
Pikachu#7564,Pikachu#22985,2780,https://i.imgur.com/il1Wvif.png,https://i.imgur.com/gS6OSkY.png,https://i.imgur.com/oXBvbE9.png,,,,therealFDD#9999,thefakeFDD#2976,3064,https://i.imgur.com/O5vr7h2.png,https://i.imgur.com/v70AAo5.png,https://i.imgur.com/eJEksPQ.png,https://i.imgur.com/Km1KtNq.png,https://i.imgur.com/u9Diyde.png,https://i.imgur.com/siaJ1Lp.png
Halexox15#8024,Halexox15#2641,3088,https://i.imgur.com/IPkxjWf.png,https://i.imgur.com/OqzcDML.png,https://i.imgur.com/9BV38Ry.png,,,,shottie#7990,ADM#21394,3198,https://i.imgur.com/9oA9M2P.png,https://i.imgur.com/razLqX9.png,https://i.imgur.com/vhfE7tx.png,,,
Roos#6874,Rose#23916,2960,https://i.imgur.com/M9PL4bn.jpg,https://i.imgur.com/Gcy52BR.jpg,https://i.imgur.com/AqdPEgb.jpg,,,,pko65#0729,pko65#2945,3074,https://i.imgur.com/WYtvtVt.png,https://i.imgur.com/cJVuH7Q.png,https://i.imgur.com/ogIFjgg.png,,,
Luci#0753,Luci#21294,3046,https://i.imgur.com/WZYziMr.png,https://i.imgur.com/GF5N3el.png,https://i.imgur.com/XByeSf9.png,,,,cmarvs#2330,cmarvs#2326,3113,https://i.imgur.com/sVCgHc3.png,https://i.imgur.com/UzM9ZHO.png,https://i.imgur.com/gw49BHV.png,,,
ToXiCRAMPAGE#2232,ToxicRampage#21230,3714,https://ibb.co/z8Ytwsj,https://ibb.co/L0JhKp7,https://ibb.co/BPDdpyH,,,,Fistfull #5185,Fistfull#21244,3221,https://ibb.co/cbr006h,https://ibb.co/rHh7hKg,https://ibb.co/CVhPt49,,,
Rubix#4962,Rubix#21250,2390,https://imgur.com/1T8aDpT,https://imgur.com/oyln04f,https://imgur.com/jFq5lqb,,,,Jonny9298#2199,LuckyOwl#225889,2587,https://imgur.com/FqSWoNv,https://imgur.com/xzxCuzs,https://imgur.com/C36lYXW,,,
krigsvroul#8592,krigsvroul#2298,3464,https://imgur.com/37IDPuG,https://imgur.com/7MHfbpB,https://imgur.com/dWt5Q1S,,,,Hawkvortex#6007,Hawkvortex#2452,2957,https://imgur.com/Ts5ElNB,https://imgur.com/8n6Bbyw,https://imgur.com/Al61FHJ,,,
Starlight#0555,Starlight#11857,2137,https://imgur.com/3HLLZra,https://imgur.com/Ve1lmXa,https://imgur.com/RpeZuVh,,,,Lucas#8501,Lucas#25840,2714,https://imgur.com/MdvtvEt,https://imgur.com/W1blBBL,https://imgur.com/fwIgvzF,,,
bossblazer#5426,xboxgenguman#2821,3372,https://imgur.com/3nNuTmX,https://imgur.com/HDCE0qa,https://imgur.com/1Wr8s3H,,,,Deian#6977,Deian#21598,3401,https://imgur.com/Xllyk1T,https://imgur.com/at1qti9,https://imgur.com/YzhTQli,,,
River#2826,Fil6523#2247,3169,https://imgur.com/4YYNqd1,https://imgur.com/z2OnT0d,https://imgur.com/KOgW23t,,,,HazeCat #1792,HazeCat#2770,3529,https://imgur.com/gg60kgz,https://imgur.com/ZHGlbVS,https://imgur.com/aOctxO0,,,
Reigns #0692,Reigns#11521,2093,https://imgur.com/64tVGK4,https://imgur.com/DZogVXH,https://imgur.com/DZogVXH,,,,SoubraX #6115,SoubraX#2243,2197,https://imgur.com/HQ80aiy,https://imgur.com/TPdKgFG,https://imgur.com/KYux2lY,,,
BG533#5895,BG533#2332,4041,https://imgur.com/7qTbF8W,https://imgur.com/ReSIKVg,https://imgur.com/eVk0quV,,,,CliMattic#3284,CliMattic#2482,4045,https://imgur.com/iZGnxFZ,https://imgur.com/AXLWl6V,https://imgur.com/R3ivLrN,,,
ottle#0744,OttleTv#2944,2449,https://imgur.com/8K97orG,https://imgur.com/xiGZg86,https://imgur.com/MQlyXEu,,,,bottomfeeder#8957,the23rd#21647,2769,https://imgur.com/HcMuLwD,https://imgur.com/MgCqatj,https://imgur.com/6s30RiD,,,
zBlackZ#3669,Black#25663,3622,https://imgur.com/a/26LApE8,https://imgur.com/a/J5agFLd,https://imgur.com/a/2qZwnXL,,,,Dempsey#4080,Dempsey#21864,3194,https://imgur.com/a/pokP5B9,https://imgur.com/a/SROfQYE,https://imgur.com/a/CPLxOVk,,,
Blink#2391,Mango#22212,3598,https://imgur.com/a/2P4q40y,https://imgur.com/a/2P4q40y,https://imgur.com/a/2P4q40y,,,,Siren#4719,Izalith#21443,3743,https://imgur.com/a/hjEwS4i,https://imgur.com/a/hjEwS4i,https://imgur.com/a/hjEwS4i,,,
nnutt#1037,nnutt#2407,2967,https://imgur.com/a/2ZKrh3c,https://imgur.com/a/2ZKrh3c,https://imgur.com/a/2ZKrh3c,,,,Shapi#8235,Shapi#21919,2322,https://imgur.com/a/JTm0Pah,https://imgur.com/a/JTm0Pah,https://imgur.com/a/JTm0Pah,,,
MarB#3262,MarB#21249,4028,https://imgur.com/a/3heaQ1x,https://imgur.com/a/4kzHAGo,https://imgur.com/a/um9lVwc,,,,DSA#2366,Minda#21426,3613,https://imgur.com/a/rKdJFT0,https://imgur.com/a/OrmdkFG,https://imgur.com/a/yrbrupm,,,
koyle#5648,Koyle#21767,2583,https://imgur.com/a/3rIxbRa,https://imgur.com/a/pWiI4rY,https://imgur.com/a/jCeiQWb,,,,Nyon#6593,ĤĔǺĿŜ404ǃǃǃ#2962,3070,https://imgur.com/a/OmWJbVm,https://imgur.com/a/X8TqHiV,https://imgur.com/a/nkOvIRl,,,
Starjad590#4836,starjad590#2753,2353,https://imgur.com/a/4A13Vb1,https://imgur.com/a/3up1r9p,https://imgur.com/a/4CtS4Tj,,,,Belzameth #9172,Belzameth#2963,2664,https://imgur.com/a/wP8FSmb,https://imgur.com/a/rleUTtl,https://imgur.com/a/BSbFNFD,,,
CheezyGV#5823,CheezyGV#2661,3465,https://imgur.com/a/4OdmbS2,https://imgur.com/a/4OdmbS2,https://imgur.com/a/4OdmbS2,,,,Aastrai#2413,Aastrai#2103,3111,https://imgur.com/a/p24y2x9,https://imgur.com/a/p24y2x9,https://imgur.com/a/p24y2x9,,,
Vroom Bomm#7895,OleBomm#2555,3561,https://imgur.com/a/54zARDA,https://imgur.com/a/rDoCzRN,https://imgur.com/a/Ex7bOU5,,,,AceCyrex#9905,AceCyrex#2555,3331,https://imgur.com/a/AgyCi4j,https://imgur.com/a/PUuvPSz,https://imgur.com/a/8CQhjhf,,,
Simik#3165,Simik#21729,3015,https://imgur.com/a/6S2MywI,https://imgur.com/a/6S2MywI,https://imgur.com/a/6S2MywI,,,,Phaze #3703,Fantastical#21560,2728,https://imgur.com/a/pUldj7d,https://imgur.com/a/pUldj7d,https://imgur.com/a/pUldj7d,,,
Parlora#7768,Parlora#2145,2961,https://imgur.com/a/82U6MCT,https://imgur.com/a/kKTh8VV,https://imgur.com/a/hYrxuOz,,,,JamieTheAverage#1599,JTheAverage#2616,2567,https://imgur.com/a/Ke4k3LE,https://imgur.com/a/4Uaj6iq,https://imgur.com/a/rkeJyDC,,,
vava#2560,vava#21711,2472,https://imgur.com/a/8jj2D8j,https://imgur.com/a/vft51bZ,https://imgur.com/a/JPwOsOi,,,,FT - Dynamis#4788,Dynamis#21578,2638,https://imgur.com/a/O1YJozS,https://imgur.com/a/JsQ9Zvf,https://imgur.com/a/XNfYd4e,,,
yeepeey #8961,yeepeey#2470,4386,https://imgur.com/a/9jl2Ez3,https://imgur.com/a/KJhkLay,https://imgur.com/a/tHbIsTD,,,,shelter.#2121,SHELTER#22510,3991,https://imgur.com/a/ldhLMAy,https://imgur.com/a/knEKfkB,https://imgur.com/a/TH7wzmH,,,
Reisul#6341,Reisul#2777,2300,https://imgur.com/a/9uSjox2,https://imgur.com/a/9uSjox2,https://imgur.com/a/9uSjox2,https://imgur.com/a/9uSjox2,https://imgur.com/a/9uSjox2,https://imgur.com/a/9uSjox2,Calamar#4488,Calamar23#2286,2784,https://imgur.com/a/ydAFJhE,https://imgur.com/a/ydAFJhE,https://imgur.com/a/ydAFJhE,https://imgur.com/a/ydAFJhE,https://imgur.com/a/ydAFJhE,https://imgur.com/a/ydAFJhE
Kuma#6597,Kuma#2973,3127,https://imgur.com/a/aQYj34M,https://imgur.com/a/MuZKARd,https://imgur.com/a/1euuSuQ,,,,Swaglord Hammond#6983,Archangǝl#2202,3104,https://imgur.com/a/YzNyFj3,https://imgur.com/a/TJshton,https://imgur.com/a/qHhZXyZ,,,
LordofTerrans#6663,TerranLord#21607,3137,https://imgur.com/a/cIZBije,https://imgur.com/a/pMGgtDj,https://imgur.com/a/K5dlBP7,,,,MiniTeg#6507,MiniTeg#2320,3400,https://imgur.com/yTzbCIL,https://imgur.com/mLtFJxa,https://imgur.com/A9zA8W7,,,
EliteEnte#0103,EliteEnte#21919,3275,https://imgur.com/a/DQOkXVd,https://imgur.com/a/mfUiYYY,https://imgur.com/a/Cu3ICHX,,,,Preason #2285,Feelymyaim#2440,3417,https://imgur.com/a/obyIeqM,https://imgur.com/a/EecXkyC,https://imgur.com/a/tsdiXRT,,,
Ratchet#4257,Ratchet#2465,3088,https://imgur.com/a/eEPRSPd,https://imgur.com/a/qYchvfO,https://imgur.com/a/akpnw3s,,,,Jak250#1713,Jak250#2487,2153,https://imgur.com/a/7vStxiA,https://imgur.com/a/OU6v2b9,https://imgur.com/a/akpDODP,,,
TheDoctor#6726,TheDoctor#22206,3369,https://imgur.com/a/eRN3Osf,https://imgur.com/a/pRrm7UF,https://imgur.com/a/lfJXrMe,,,,Surreal#9226,Surreal#2505,3061,https://imgur.com/VF56xKS,https://imgur.com/MpUGkvu,https://imgur.com/aKMlelE,,,
Kibi#9968,Mirri#21125,3334,https://imgur.com/a/fhf2n8q,https://imgur.com/a/gQtACXy,https://imgur.com/a/oZPhgZ0,,,,spooky fay #0424,shō#2898,3312,https://imgur.com/a/FOrXZRJ,https://imgur.com/a/rY1yPvV,https://imgur.com/a/GfXRpMj,,,
Witchking#7547,Devilking#2658,3933,https://imgur.com/a/fO5nYdX,https://imgur.com/a/b2plpUn,https://imgur.com/a/P7RfXlG,,,,Casilton#2026,Casilton#2245,3714,https://imgur.com/a/gMbpjIw,https://imgur.com/a/LgjD6X3,https://imgur.com/a/IXnJW3q,,,
Tactical#5208,Tactical#21746,4145,https://imgur.com/a/g3sxUnZ,https://imgur.com/a/7ONgFf7,https://imgur.com/a/nc2FNwL,,,,R317EE #5989,R317EE#2865,4456,https://imgur.com/a/4eblPfi,https://imgur.com/a/IptSW0Y,https://imgur.com/a/PUSKPEp,,,
abenz#8682,Abenz#21295,2593,https://imgur.com/a/H2sg3f2,https://imgur.com/a/nVRSk1E,https://imgur.com/a/wikKCcZ,,,,"Sven09#4855 ",Sven09#21138,3342,https://imgur.com/a/lLHow6X,https://imgur.com/a/n8qWTHd,https://imgur.com/a/E9ipRTI,,,
quack#3622,RestInPieces#21644,2803,https://imgur.com/a/hOqDgPU,https://imgur.com/a/NWEvr5R,https://imgur.com/a/79FyotW,,,,FLX#8254,FLX#21903,3026,https://imgur.com/a/JgbyKSt,https://imgur.com/a/HqfagaE,https://imgur.com/a/fA4UhFe,,,
Toodels#5176,Toodels#2517,3178,https://imgur.com/a/hUnhQvI,https://imgur.com/a/hUnhQvI,https://imgur.com/a/hUnhQvI,,,,Yoro#3917,Yoro#21297,3070,https://imgur.com/a/hUnhQvI,https://imgur.com/a/hUnhQvI,https://imgur.com/a/hUnhQvI,,,
Tentalex#4224,Tentalex#2839,3638,https://imgur.com/a/jzKs7eQ,https://imgur.com/a/PPgIxr7,https://imgur.com/a/Or5jIYj,,,,Swift/Skillyn#6735,SwiftShadow#2897,3575,https://imgur.com/a/nRYEcK7,https://imgur.com/a/oSscNhA,https://imgur.com/a/RuYWFM5,,,
Crimp#9615,PapaCrimp#2252,2883,https://imgur.com/a/k3lYfBD,https://imgur.com/a/k3lYfBD,https://imgur.com/a/k3lYfBD,,,,Avaiel#2119,Avaiel#2369,2819,https://imgur.com/a/jvNfuHP,https://imgur.com/a/jvNfuHP,https://imgur.com/a/jvNfuHP,,,
Hammie#5900,Hammie#21604,3037,https://imgur.com/a/MbQN1Zn,https://imgur.com/a/jfFbxZG,https://imgur.com/a/GtyKO1W,https://imgur.com/a/MbQN1Zn,https://imgur.com/a/jfFbxZG,https://imgur.com/a/GtyKO1W,Losty#6332,Losty#21199 and LOSTLeiou#2976,3215,https://imgur.com/IGa2xen,https://imgur.com/fRVmway,https://imgur.com/FGKGqsW,https://imgur.com/gCmT3Af,https://imgur.com/rF7oCju,https://imgur.com/ti6EtYK
